N       Z               A0            A1              A2
06      06       -0.5328E+02     0.3433E+02        0.2158E-01
08      06       -0.2325E+03     0.2129E+03        0.1691E-01
08      08       -0.6333E+02     0.3927E+02        0.2328E-01
10      08       -0.2288E+03     0.1973E+03        0.1855E-01
10      10       -0.7065E+02     0.4219E+02        0.2472E-01
14      12       -0.2418E+03     0.1892E+03        0.2099E-01
14      14       -0.8543E+02     0.4788E+02        0.2678E-01
16      14       -0.2454E+03     0.1833E+03        0.2202E-01
18      14       -0.5559E+03     0.4688E+03        0.1957E-01
18      16       -0.2542E+03     0.1820E+03        0.2298E-01
28      24       -0.4897E+03     0.3443E+03        0.2415E-01
34      28       -0.6626E+03     0.4681E+03        0.2435E-01
36      28       -0.9001E+03     0.6732E+03        0.2305E-01
36      30       -0.6590E+03     0.4487E+03        0.2499E-01
38      30       -0.8519E+03     0.6212E+03        0.2400E-01
38      32       -0.6492E+03     0.4255E+03        0.2573E-01
44      36       -0.8244E+03     0.5393E+03        0.2593E-01
56      40       -0.2068E+04     0.1500E+04        0.2298E-01
56      42       -0.1513E+04     0.1050E+04        0.2514E-01
58      40       -0.2579E+04     0.1911E+04        0.2190E-01
58      42       -0.1938E+04     0.1377E+04        0.2388E-01
56      44       -0.1228E+04     0.7858E+03        0.2663E-01
58      44       -0.1462E+04     0.9871E+03        0.2583E-01
58      46       -0.1209E+04     0.7469E+03        0.2723E-01
60      46       -0.1441E+04     0.9401E+03        0.2640E-01
60      48       -0.1190E+04     0.7096E+03        0.2784E-01
62      46       -0.1710E+04     0.1166E+04        0.2561E-01
62      48       -0.1411E+04     0.8884E+03        0.2705E-01
64      46       -0.2145E+04     0.1495E+04        0.2445E-01
66      46       -0.2650E+04     0.1884E+04        0.2337E-01
66      48       -0.2011E+04     0.1373E+04        0.2532E-01
70      46       -0.3819E+04     0.2818E+04        0.2156E-01
66      50       -0.1633E+04     0.1045E+04        0.2684E-01
68      50       -0.1886E+04     0.1261E+04        0.2621E-01
70      50       -0.2326E+04     0.1589E+04        0.2510E-01
72      50       -0.2835E+04     0.1975E+04        0.2407E-01
74      50       -0.3405E+04     0.2416E+04        0.2313E-01
76      52       -0.3194E+04     0.2222E+04        0.2397E-01
86      56       -0.4645E+04     0.3271E+04        0.2296E-01
96      66       -0.3478E+04     0.2227E+04        0.2688E-01
114     76       -0.4499E+04     0.2793E+04        0.2763E-01
124     82       -0.4830E+04     0.2918E+04        0.2847E-01
126     82       -0.5449E+04     0.3342E+04        0.2776E-01
