N       Z             A0                         A1                         A2
22     18       -0.39040036856E+01         0.23535402993E+01          0.29386875571E-01
26     18       -0.74640330564E+01         0.53566665189E+01          0.25094733071E-01
80     56       -0.58392899932E+02         0.50064698026E+02          0.13444693555E-01
82     56       -0.64711237547E+02         0.55893458005E+02          0.13010840983E-01
84     56       -0.70077067869E+02         0.60835129197E+02          0.12721554761E-01
86     56       -0.77746826421E+02         0.68042211662E+02          0.12250538084E-01
90     56       -0.92952930219E+02         0.82669592928E+02          0.11462903737E-01
26     20       -0.63773975292E+01         0.46167601011E+01          0.25332704864E-01
30     20       -0.11825966282E+02         0.94361549534E+01          0.21720982697E-01
34     20       -0.15761537789E+02         0.12549461167E+02          0.21467732921E-01
60     48       -0.15118124928E+02         0.10784071365E+02          0.24324242620E-01
62     48       -0.17713866249E+02         0.12916777276E+02          0.23462495550E-01
64     48       -0.20555790176E+02         0.15269705308E+02          0.22692465421E-01
66     48       -0.23515111106E+02         0.17769485510E+02          0.22006828925E-01
70     48       -0.30052619510E+02         0.23381805943E+02          0.20792373083E-01
74     48       -0.37264289825E+02         0.29694303757E+02          0.19762166042E-01
78     48       -0.43433691724E+02         0.35188783860E+02          0.19154759119E-01
82     58       -0.58317553245E+02         0.49961454823E+02          0.13482325121E-01
84     58       -0.64527905300E+02         0.55693398710E+02          0.13042606000E-01
86     58       -0.72379358541E+02         0.63068891259E+02          0.12495665067E-01
88     58       -0.80599030703E+02         0.70858878176E+02          0.11994383741E-01
28     24       -0.51092541072E+01         0.33956388860E+01          0.27282968849E-01
30     24       -0.69634025965E+01         0.48448594032E+01          0.25686904922E-01
34     24       -0.11484551911E+02         0.87485875634E+01          0.23012274514E-01
38     24       -0.18283427136E+02         0.14883013890E+02          0.20563597637E-01
96     66       -0.46882773757E+02         0.37322509236E+02          0.19310210406E-01
98     66       -0.51233976766E+02         0.41151502777E+02          0.18877642439E-01
98     68       -0.81193631618E+02         0.70447061974E+02          0.12274876161E-01
100    68       -0.90380234743E+02         0.79080496339E+02          0.11754920182E-01
