j =  1/2+   -52.534
 0.000       0.321858       0.000000
 0.100       0.321675       0.000612
 0.200       0.321127       0.001215
 0.300       0.320221       0.001803
 0.400       0.318966       0.002367
 0.500       0.317375       0.002903
 0.600       0.315462       0.003405
 0.700       0.313247       0.003870
 0.800       0.310747       0.004297
 0.900       0.307982       0.004687
 1.000       0.304971       0.005042
 1.100       0.301730       0.005367
 1.200       0.298277       0.005667
 1.300       0.294624       0.005950
 1.400       0.290781       0.006223
 1.500       0.286755       0.006496
 1.600       0.282549       0.006778
 1.700       0.278162       0.007076
 1.800       0.273589       0.007399
 1.900       0.268823       0.007753
 2.000       0.263853       0.008142
 2.100       0.258666       0.008568
 2.200       0.253249       0.009032
 2.300       0.247586       0.009530
 2.400       0.241664       0.010058
 2.500       0.235471       0.010607
 2.600       0.228997       0.011167
 2.700       0.222235       0.011727
 2.800       0.215184       0.012273
 2.900       0.207846       0.012791
 3.000       0.200231       0.013266
 3.100       0.192352       0.013685
 3.200       0.184231       0.014033
 3.300       0.175895       0.014300
 3.400       0.167376       0.014476
 3.500       0.158713       0.014553
 3.600       0.149948       0.014526
 3.700       0.141128       0.014396
 3.800       0.132302       0.014162
 3.900       0.123522       0.013829
 4.000       0.114840       0.013404
 4.100       0.106308       0.012895
 4.200       0.097974       0.012314
 4.300       0.089887       0.011674
 4.400       0.082089       0.010986
 4.500       0.074620       0.010266
 4.600       0.067511       0.009525
 4.700       0.060792       0.008778
 4.800       0.054483       0.008035
 4.900       0.048599       0.007309
 5.000       0.043147       0.006607
 5.100       0.038131       0.005938
 5.200       0.033545       0.005307
 5.300       0.029382       0.004718
 5.400       0.025627       0.004175
 5.500       0.022263       0.003677
 5.600       0.019267       0.003226
 5.700       0.016616       0.002819
 5.800       0.014284       0.002455
 5.900       0.012245       0.002132
 6.000       0.010472       0.001846
 6.100       0.008937       0.001593
 6.200       0.007614       0.001372
 6.300       0.006479       0.001178
 6.400       0.005508       0.001009
 6.500       0.004679       0.000861
 6.600       0.003974       0.000733
 6.700       0.003374       0.000622
 6.800       0.002864       0.000526
 6.900       0.002430       0.000443
 7.000       0.002061       0.000372
 7.100       0.001746       0.000311
 7.200       0.001478       0.000260
 7.300       0.001250       0.000217
 7.400       0.001055       0.000181
 7.500       0.000888       0.000151
