j = 1/2+    -56.2339
     0.000       0.522804       0.054967
     0.100       0.522171       0.054905
     0.200       0.520279       0.054719
     0.300       0.517144       0.054413
     0.400       0.512796       0.053989
     0.500       0.507275       0.053455
     0.600       0.500629       0.052817
     0.700       0.492917       0.052082
     0.800       0.484202       0.051260
     0.900       0.474553       0.050359
     1.000       0.464044       0.049387
     1.100       0.452750       0.048353
     1.200       0.440747       0.047264
     1.300       0.428110       0.046126
     1.400       0.414914       0.044946
     1.500       0.401230       0.043727
     1.600       0.387128       0.042472
     1.700       0.372671       0.041184
     1.800       0.357921       0.039864
     1.900       0.342937       0.038512
     2.000       0.327774       0.037128
     2.100       0.312484       0.035712
     2.200       0.297116       0.034263
     2.300       0.281718       0.032780
     2.400       0.266339       0.031265
     2.500       0.251024       0.029719
     2.600       0.235820       0.028144
     2.700       0.220773       0.026544
     2.800       0.205932       0.024923
     2.900       0.191342       0.023287
     3.000       0.177052       0.021644
     3.100       0.163109       0.020001
     3.200       0.149560       0.018369
     3.300       0.136452       0.016757
     3.400       0.123829       0.015175
     3.500       0.111731       0.013635
     3.600       0.100196       0.012145
     3.700       0.089259       0.010717
     3.800       0.078948       0.009359
     3.900       0.069286       0.008079
     4.000       0.060290       0.006885
     4.100       0.051971       0.005782
     4.200       0.044333       0.004774
     4.300       0.037373       0.003863
     4.400       0.031080       0.003050
     4.500       0.025440       0.002334
     4.600       0.020430       0.001713
     4.700       0.016022       0.001183
     4.800       0.012186       0.000740
     4.900       0.008885       0.000376
     5.000       0.006080       0.000086
     5.100       0.003731      -0.000137
     5.200       0.001795      -0.000302
     5.300       0.000229      -0.000417
     5.400      -0.001008      -0.000489
     5.500      -0.001959      -0.000525
     5.600      -0.002664      -0.000533
     5.700      -0.003158      -0.000519
     5.800      -0.003479      -0.000490
     5.900      -0.003656      -0.000450
     6.000      -0.003719      -0.000405
     6.100      -0.003693      -0.000357
     6.200      -0.003601      -0.000309
     6.300      -0.003460      -0.000265
     6.400      -0.003287      -0.000225
     6.500      -0.003095      -0.000191
     6.600      -0.002893      -0.000163
     6.700      -0.002689      -0.000141
     6.800      -0.002490      -0.000125
     6.900      -0.002299      -0.000114
     7.000      -0.002119      -0.000108
     7.100      -0.001951      -0.000106
     7.200      -0.001795      -0.000106
     7.300      -0.001652      -0.000109
     7.400      -0.001519      -0.000112
     7.500      -0.001398      -0.000116
     7.600      -0.001285      -0.000119
     7.700      -0.001180      -0.000122
     7.800      -0.001083      -0.000124
     7.900      -0.000991      -0.000124
     8.000      -0.000904      -0.000122
     8.100      -0.000822      -0.000118
     8.200      -0.000743      -0.000113
     8.300      -0.000668      -0.000106
     8.400      -0.000596      -0.000098
     8.500      -0.000527      -0.000089
     8.600      -0.000461      -0.000078
     8.700      -0.000399      -0.000068
     8.800      -0.000340      -0.000056
     8.900      -0.000285      -0.000045
     9.000      -0.000234      -0.000034
     9.100      -0.000187      -0.000024
     9.200      -0.000144      -0.000014
     9.300      -0.000105      -0.000004
     9.400      -0.000070       0.000004
     9.500      -0.000040       0.000012
     9.600      -0.000013       0.000018
     9.700       0.000010       0.000024
     9.800       0.000029       0.000028
     9.900       0.000044       0.000032
    10.000       0.000056       0.000034
    10.100       0.000066       0.000036
    10.200       0.000073       0.000037
    10.300       0.000077       0.000038
    10.400       0.000080       0.000037
    10.500       0.000080       0.000037
    10.600       0.000080       0.000035
    10.700       0.000078       0.000034
    10.800       0.000075       0.000032
    10.900       0.000071       0.000030
    11.000       0.000067       0.000028
    11.100       0.000063       0.000026
    11.200       0.000058       0.000024
    11.300       0.000053       0.000022
    11.400       0.000049       0.000020
    11.500       0.000044       0.000018
    11.600       0.000040       0.000016
    11.700       0.000035       0.000014
    11.800       0.000031       0.000013
    11.900       0.000028       0.000011
    12.000       0.000024       0.000010
    12.100       0.000021       0.000008
    12.200       0.000019       0.000007
    12.300       0.000016       0.000006
    12.400       0.000014       0.000005
    12.500       0.000012       0.000005
    12.600       0.000010       0.000004
    12.700       0.000009       0.000003
    12.800       0.000007       0.000003
    12.900       0.000006       0.000002
    13.000       0.000005       0.000002
    13.100       0.000004       0.000002
    13.200       0.000004       0.000001
    13.300       0.000003       0.000001
    13.400       0.000002       0.000001
    13.500       0.000002       0.000001
    13.600       0.000002       0.000001
    13.700       0.000001       0.000001
    13.800       0.000001       0.000000
    13.900       0.000001       0.000000
    14.000       0.000001       0.000000
    14.100       0.000001       0.000000
    14.200       0.000000       0.000000
    14.300       0.000000       0.000000
    14.400       0.000000       0.000000
    14.500       0.000000       0.000000
    14.600       0.000000       0.000000
    14.700       0.000000       0.000000
    14.800       0.000000       0.000000
    14.900       0.000000       0.000000
    15.000       0.000000       0.000000
    15.100       0.000000       0.000000
    15.200       0.000000       0.000000
    15.300       0.000000       0.000000
    15.400       0.000000       0.000000
    15.500       0.000000       0.000000
    15.600       0.000000       0.000000
    15.700       0.000000       0.000000
    15.800       0.000000       0.000000
    15.900       0.000000       0.000000
    16.000       0.000000       0.000000
    16.100       0.000000       0.000000
    16.200       0.000000       0.000000
    16.300       0.000000       0.000000
    16.400       0.000000       0.000000
    16.500       0.000000       0.000000
    16.600       0.000000       0.000000
    16.700       0.000000       0.000000
    16.800       0.000000       0.000000
    16.900       0.000000       0.000000
    17.000       0.000000       0.000000
    17.100       0.000000       0.000000
    17.200       0.000000       0.000000
    17.300       0.000000       0.000000
    17.400       0.000000       0.000000
    17.500       0.000000       0.000000
    17.600       0.000000       0.000000
    17.700       0.000000       0.000000
    17.800       0.000000       0.000000
    17.900       0.000000       0.000000
    18.000       0.000000       0.000000
    18.100       0.000000       0.000000
    18.200       0.000000       0.000000
    18.300       0.000000       0.000000
    18.400       0.000000       0.000000
    18.500       0.000000       0.000000
    18.600       0.000000       0.000000
    18.700       0.000000       0.000000
    18.800       0.000000       0.000000
    18.900       0.000000       0.000000
    19.000       0.000000       0.000000
    19.100       0.000000       0.000000
    19.200       0.000000       0.000000

j = 1/2+    -29.2676
     0.000       0.465067       0.091660
     0.100       0.463902       0.091543
     0.200       0.460415       0.091193
     0.300       0.454634       0.090608
     0.400       0.446605       0.089783
     0.500       0.436392       0.088715
     0.600       0.424075       0.087398
     0.700       0.409753       0.085829
     0.800       0.393539       0.084003
     0.900       0.375561       0.081918
     1.000       0.355961       0.079572
     1.100       0.334895       0.076967
     1.200       0.312529       0.074107
     1.300       0.289038       0.071001
     1.400       0.264607       0.067660
     1.500       0.239428       0.064099
     1.600       0.213695       0.060338
     1.700       0.187609       0.056400
     1.800       0.161370       0.052314
     1.900       0.135177       0.048109
     2.000       0.109225       0.043819
     2.100       0.083708       0.039480
     2.200       0.058810       0.035128
     2.300       0.034706       0.030803
     2.400       0.011562       0.026543
     2.500      -0.010470       0.022384
     2.600      -0.031253       0.018363
     2.700      -0.050663       0.014513
     2.800      -0.068597       0.010864
     2.900      -0.084967       0.007443
     3.000      -0.099705       0.004274
     3.100      -0.112766       0.001373
     3.200      -0.124119      -0.001245
     3.300      -0.133758      -0.003572
     3.400      -0.141694      -0.005604
     3.500      -0.147958      -0.007343
     3.600      -0.152597      -0.008792
     3.700      -0.155677      -0.009963
     3.800      -0.157277      -0.010867
     3.900      -0.157491      -0.011522
     4.000      -0.156423      -0.011945
     4.100      -0.154185      -0.012159
     4.200      -0.150899      -0.012184
     4.300      -0.146690      -0.012045
     4.400      -0.141685      -0.011764
     4.500      -0.136012      -0.011366
     4.600      -0.129798      -0.010872
     4.700      -0.123165      -0.010304
     4.800      -0.116230      -0.009682
     4.900      -0.109104      -0.009025
     5.000      -0.101889      -0.008348
     5.100      -0.094678      -0.007668
     5.200      -0.087555      -0.006995
     5.300      -0.080592      -0.006341
     5.400      -0.073851      -0.005715
     5.500      -0.067383      -0.005122
     5.600      -0.061231      -0.004567
     5.700      -0.055424      -0.004054
     5.800      -0.049986      -0.003585
     5.900      -0.044927      -0.003159
     6.000      -0.040255      -0.002776
     6.100      -0.035967      -0.002434
     6.200      -0.032056      -0.002132
     6.300      -0.028508      -0.001867
     6.400      -0.025308      -0.001636
     6.500      -0.022436      -0.001435
     6.600      -0.019869      -0.001262
     6.700      -0.017585      -0.001113
     6.800      -0.015559      -0.000985
     6.900      -0.013768      -0.000876
     7.000      -0.012187      -0.000781
     7.100      -0.010794      -0.000700
     7.200      -0.009568      -0.000630
     7.300      -0.008488      -0.000569
     7.400      -0.007536      -0.000515
     7.500      -0.006696      -0.000467
     7.600      -0.005952      -0.000425
     7.700      -0.005292      -0.000386
     7.800      -0.004705      -0.000350
     7.900      -0.004179      -0.000318
     8.000      -0.003708      -0.000288
     8.100      -0.003284      -0.000259
     8.200      -0.002902      -0.000233
     8.300      -0.002556      -0.000209
     8.400      -0.002243      -0.000186
     8.500      -0.001958      -0.000164
     8.600      -0.001701      -0.000144
     8.700      -0.001467      -0.000126
     8.800      -0.001257      -0.000109
     8.900      -0.001067      -0.000094
     9.000      -0.000896      -0.000080
     9.100      -0.000744      -0.000068
     9.200      -0.000609      -0.000056
     9.300      -0.000489      -0.000046
     9.400      -0.000384      -0.000038
     9.500      -0.000294      -0.000030
     9.600      -0.000215      -0.000024
     9.700      -0.000149      -0.000018
     9.800      -0.000093      -0.000013
     9.900      -0.000046      -0.000010
    10.000      -0.000008      -0.000006
    10.100       0.000022      -0.000004
    10.200       0.000046      -0.000002
    10.300       0.000064      -0.000000
    10.400       0.000077       0.000001
    10.500       0.000086       0.000002
    10.600       0.000091       0.000003
    10.700       0.000093       0.000003
    10.800       0.000093       0.000003
    10.900       0.000091       0.000003
    11.000       0.000087       0.000003
    11.100       0.000083       0.000003
    11.200       0.000078       0.000003
    11.300       0.000072       0.000003
    11.400       0.000066       0.000003
    11.500       0.000060       0.000002
    11.600       0.000054       0.000002
    11.700       0.000049       0.000002
    11.800       0.000043       0.000002
    11.900       0.000038       0.000001
    12.000       0.000034       0.000001
    12.100       0.000029       0.000001
    12.200       0.000026       0.000001
    12.300       0.000022       0.000001
    12.400       0.000019       0.000001
    12.500       0.000016       0.000001
    12.600       0.000014       0.000000
    12.700       0.000012       0.000000
    12.800       0.000010       0.000000
    12.900       0.000008       0.000000
    13.000       0.000007       0.000000
    13.100       0.000006       0.000000
    13.200       0.000005       0.000000
    13.300       0.000004       0.000000
    13.400       0.000003       0.000000
    13.500       0.000003       0.000000
    13.600       0.000002       0.000000
    13.700       0.000002       0.000000
    13.800       0.000001       0.000000
    13.900       0.000001       0.000000
    14.000       0.000001       0.000000
    14.100       0.000001       0.000000
    14.200       0.000001       0.000000
    14.300       0.000000       0.000000
    14.400       0.000000       0.000000
    14.500       0.000000       0.000000
    14.600       0.000000       0.000000
    14.700       0.000000       0.000000
    14.800       0.000000       0.000000
    14.900       0.000000       0.000000
    15.000       0.000000       0.000000
    15.100       0.000000       0.000000
    15.200       0.000000       0.000000
    15.300       0.000000       0.000000
    15.400       0.000000       0.000000
    15.500       0.000000       0.000000
    15.600       0.000000       0.000000
    15.700       0.000000       0.000000
    15.800       0.000000       0.000000
    15.900       0.000000       0.000000
    16.000       0.000000       0.000000
    16.100       0.000000       0.000000
    16.200       0.000000       0.000000
    16.300       0.000000       0.000000
    16.400       0.000000       0.000000
    16.500       0.000000       0.000000
    16.600       0.000000       0.000000
    16.700       0.000000       0.000000
    16.800       0.000000       0.000000
    16.900       0.000000       0.000000
    17.000       0.000000       0.000000
    17.100       0.000000       0.000000
    17.200       0.000000       0.000000
    17.300       0.000000       0.000000
    17.400       0.000000       0.000000
    17.500       0.000000       0.000000
    17.600       0.000000       0.000000
    17.700       0.000000       0.000000
    17.800       0.000000       0.000000
    17.900       0.000000       0.000000
    18.000       0.000000       0.000000
    18.100       0.000000       0.000000
    18.200       0.000000       0.000000
    18.300       0.000000       0.000000
    18.400       0.000000       0.000000
    18.500       0.000000       0.000000
    18.600       0.000000       0.000000
    18.700       0.000000       0.000000
    18.800       0.000000       0.000000
    18.900       0.000000       0.000000
    19.000       0.000000       0.000000
    19.100       0.000000       0.000000
    19.200       0.000000       0.000000
j = 1/2+     -0.1445
     0.000       0.530722       0.119682
     0.100       0.529019       0.119428
     0.200       0.523925       0.118666
     0.300       0.515490       0.117394
     0.400       0.503794       0.115609
     0.500       0.488949       0.113310
     0.600       0.471100       0.110496
     0.700       0.450424       0.107167
     0.800       0.427125       0.103327
     0.900       0.401440       0.098987
     1.000       0.373632       0.094159
     1.100       0.343992       0.088867
     1.200       0.312831       0.083138
     1.300       0.280484       0.077010
     1.400       0.247301       0.070529
     1.500       0.213646       0.063748
     1.600       0.179890       0.056731
     1.700       0.146409       0.049546
     1.800       0.113575       0.042268
     1.900       0.081751       0.034977
     2.000       0.051289       0.027757
     2.100       0.022518       0.020690
     2.200      -0.004257       0.013860
     2.300      -0.028764       0.007347
     2.400      -0.050766       0.001225
     2.500      -0.070068      -0.004439
     2.600      -0.086516      -0.009585
     2.700      -0.100008      -0.014164
     2.800      -0.110487      -0.018138
     2.900      -0.117946      -0.021483
     3.000      -0.122428      -0.024184
     3.100      -0.124022      -0.026242
     3.200      -0.122863      -0.027668
     3.300      -0.119127      -0.028485
     3.400      -0.113025      -0.028727
     3.500      -0.104801      -0.028438
     3.600      -0.094725      -0.027668
     3.700      -0.083085      -0.026474
     3.800      -0.070183      -0.024918
     3.900      -0.056326      -0.023064
     4.000      -0.041821      -0.020977
     4.100      -0.026968      -0.018722
     4.200      -0.012055      -0.016361
     4.300       0.002649      -0.013953
     4.400       0.016897      -0.011550
     4.500       0.030469      -0.009203
     4.600       0.043172      -0.006951
     4.700       0.054848      -0.004831
     4.800       0.065368      -0.002871
     4.900       0.074639      -0.001091
     5.000       0.082597       0.000495
     5.100       0.089213       0.001877
     5.200       0.094484       0.003055
     5.300       0.098434       0.004030
     5.400       0.101113       0.004812
     5.500       0.102589       0.005410
     5.600       0.102948       0.005838
     5.700       0.102289       0.006113
     5.800       0.100721       0.006253
     5.900       0.098359       0.006275
     6.000       0.095321       0.006198
     6.100       0.091724       0.006039
     6.200       0.087684       0.005816
     6.300       0.083311       0.005545
     6.400       0.078708       0.005239
     6.500       0.073970       0.004911
     6.600       0.069182       0.004573
     6.700       0.064418       0.004233
     6.800       0.059742       0.003900
     6.900       0.055207       0.003578
     7.000       0.050857       0.003272
     7.100       0.046723       0.002986
     7.200       0.042830       0.002721
     7.300       0.039192       0.002477
     7.400       0.035817       0.002256
     7.500       0.032706       0.002055
     7.600       0.029854       0.001875
     7.700       0.027253       0.001714
     7.800       0.024890       0.001569
     7.900       0.022750       0.001440
     8.000       0.020817       0.001324
     8.100       0.019073       0.001219
     8.200       0.017501       0.001125
     8.300       0.016083       0.001039
     8.400       0.014801       0.000961
     8.500       0.013641       0.000888
     8.600       0.012586       0.000821
     8.700       0.011625       0.000758
     8.800       0.010744       0.000699
     8.900       0.009933       0.000644
     9.000       0.009184       0.000591
     9.100       0.008488       0.000541
     9.200       0.007840       0.000494
     9.300       0.007234       0.000449
     9.400       0.006666       0.000407
     9.500       0.006132       0.000368
     9.600       0.005630       0.000330
     9.700       0.005158       0.000296
     9.800       0.004714       0.000263
     9.900       0.004297       0.000233
    10.000       0.003906       0.000206
    10.100       0.003540       0.000181
    10.200       0.003198       0.000158
    10.300       0.002881       0.000137
    10.400       0.002586       0.000118
    10.500       0.002314       0.000102
    10.600       0.002063       0.000087
    10.700       0.001833       0.000074
    10.800       0.001623       0.000062
    10.900       0.001432       0.000052
    11.000       0.001259       0.000044
    11.100       0.001103       0.000036
    11.200       0.000963       0.000030
    11.300       0.000837       0.000024
    11.400       0.000726       0.000020
    11.500       0.000627       0.000016
    11.600       0.000539       0.000013
    11.700       0.000462       0.000010
    11.800       0.000395       0.000008
    11.900       0.000336       0.000006
    12.000       0.000285       0.000005
    12.100       0.000241       0.000004
    12.200       0.000203       0.000003
    12.300       0.000171       0.000002
    12.400       0.000143       0.000001
    12.500       0.000119       0.000001
    12.600       0.000099       0.000001
    12.700       0.000082       0.000000
    12.800       0.000068       0.000000
    12.900       0.000056       0.000000
    13.000       0.000046       0.000000
    13.100       0.000037      -0.000000
    13.200       0.000030      -0.000000
    13.300       0.000025      -0.000000
    13.400       0.000020      -0.000000
    13.500       0.000016      -0.000000
    13.600       0.000013      -0.000000
    13.700       0.000010      -0.000000
    13.800       0.000008      -0.000000
    13.900       0.000007      -0.000000
    14.000       0.000005      -0.000000
    14.100       0.000004      -0.000000
    14.200       0.000003      -0.000000
    14.300       0.000003      -0.000000
    14.400       0.000002      -0.000000
    14.500       0.000002      -0.000000
    14.600       0.000001      -0.000000
    14.700       0.000001      -0.000000
    14.800       0.000001      -0.000000
