j = 1/2+    -53.5511
     0.000       0.398825       0.030931
     0.100       0.398521       0.030915
     0.200       0.397610       0.030868
     0.300       0.396097       0.030789
     0.400       0.393992       0.030682
     0.500       0.391307       0.030549
     0.600       0.388056       0.030391
     0.700       0.384257       0.030213
     0.800       0.379931       0.030017
     0.900       0.375096       0.029805
     1.000       0.369776       0.029580
     1.100       0.363992       0.029344
     1.200       0.357767       0.029097
     1.300       0.351123       0.028839
     1.400       0.344083       0.028569
     1.500       0.336666       0.028285
     1.600       0.328893       0.027984
     1.700       0.320784       0.027663
     1.800       0.312357       0.027317
     1.900       0.303632       0.026940
     2.000       0.294625       0.026529
     2.100       0.285358       0.026077
     2.200       0.275847       0.025581
     2.300       0.266115       0.025034
     2.400       0.256183       0.024435
     2.500       0.246073       0.023779
     2.600       0.235812       0.023066
     2.700       0.225428       0.022295
     2.800       0.214949       0.021469
     2.900       0.204409       0.020588
     3.000       0.193841       0.019657
     3.100       0.183282       0.018683
     3.200       0.172770       0.017670
     3.300       0.162343       0.016628
     3.400       0.152041       0.015564
     3.500       0.141905       0.014487
     3.600       0.131974       0.013408
     3.700       0.122286       0.012335
     3.800       0.112877       0.011278
     3.900       0.103783       0.010246
     4.000       0.095034       0.009248
     4.100       0.086659       0.008290
     4.200       0.078682       0.007380
     4.300       0.071122       0.006523
     4.400       0.063997       0.005723
     4.500       0.057316       0.004983
     4.600       0.051086       0.004306
     4.700       0.045310       0.003692
     4.800       0.039984       0.003140
     4.900       0.035101       0.002649
     5.000       0.030652       0.002217
     5.100       0.026623       0.001840
     5.200       0.022995       0.001516
     5.300       0.019751       0.001239
     5.400       0.016867       0.001006
     5.500       0.014320       0.000812
     5.600       0.012086       0.000652
     5.700       0.010141       0.000522
     5.800       0.008458       0.000417
     5.900       0.007012       0.000334
     6.000       0.005780       0.000268
     6.100       0.004737       0.000216
     6.200       0.003861       0.000176
     6.300       0.003131       0.000145
     6.400       0.002527       0.000120
     6.500       0.002031       0.000100
     6.600       0.001628       0.000084
     6.700       0.001301       0.000070
     6.800       0.001039       0.000058
     6.900       0.000829       0.000046
     7.000       0.000663       0.000036
     7.100       0.000531       0.000026
     7.200       0.000427       0.000017
     7.300       0.000344       0.000009
     7.400       0.000278       0.000001
     7.500       0.000225      -0.000007
     7.600       0.000182      -0.000013
     7.700       0.000146      -0.000018
     7.800       0.000116      -0.000022
     7.900       0.000089      -0.000025
     8.000       0.000066      -0.000027
     8.100       0.000046      -0.000028
     8.200       0.000027      -0.000028
     8.300       0.000011      -0.000027
     8.400      -0.000004      -0.000025
     8.500      -0.000017      -0.000022
     8.600      -0.000029      -0.000019
     8.700      -0.000039      -0.000015
     8.800      -0.000048      -0.000011
     8.900      -0.000055      -0.000007
     9.000      -0.000061      -0.000003
     9.100      -0.000066       0.000001
     9.200      -0.000069       0.000005
     9.300      -0.000071       0.000009
     9.400      -0.000071       0.000012
     9.500      -0.000071       0.000015
     9.600      -0.000070       0.000018
     9.700      -0.000068       0.000020
     9.800      -0.000066       0.000021
     9.900      -0.000063       0.000022
    10.000      -0.000059       0.000023
    10.100      -0.000056       0.000024
    10.200      -0.000052       0.000024
    10.300      -0.000048       0.000023
    10.400      -0.000044       0.000023
    10.500      -0.000040       0.000022
    10.600      -0.000036       0.000021
    10.700      -0.000033       0.000020
    10.800      -0.000029       0.000019
    10.900      -0.000026       0.000018
    11.000      -0.000023       0.000016
    11.100      -0.000020       0.000015
    11.200      -0.000018       0.000014
    11.300      -0.000015       0.000013
    11.400      -0.000013       0.000011
    11.500      -0.000012       0.000010
    11.600      -0.000010       0.000009
    11.700      -0.000008       0.000008
    11.800      -0.000007       0.000007
    11.900      -0.000006       0.000006
    12.000      -0.000005       0.000005
    12.100      -0.000004       0.000005
    12.200      -0.000004       0.000004
    12.300      -0.000003       0.000004
    12.400      -0.000003       0.000003
    12.500      -0.000002       0.000003
    12.600      -0.000002       0.000002
    12.700      -0.000001       0.000002
    12.800      -0.000001       0.000002
    12.900      -0.000001       0.000001
    13.000      -0.000001       0.000001
    13.100      -0.000001       0.000001
    13.200      -0.000000       0.000001
    13.300      -0.000000       0.000001
    13.400      -0.000000       0.000001
    13.500      -0.000000       0.000000
    13.600      -0.000000       0.000000
    13.700      -0.000000       0.000000
    13.800      -0.000000       0.000000
    13.900      -0.000000       0.000000
    14.000      -0.000000       0.000000
    14.100      -0.000000       0.000000
    14.200      -0.000000       0.000000
    14.300      -0.000000       0.000000
    14.400      -0.000000       0.000000
    14.500      -0.000000       0.000000
    14.600      -0.000000       0.000000
    14.700      -0.000000       0.000000
    14.800      -0.000000       0.000000
